_F	ADRESSE_F	TEL_F	FAX_F	EMAIL_F	ID_D	REMARQUE_F
A.D.S INDUSTRIE	MAROC	0539714269			1	
FERAILLE SIDI MOUMEN	CASABLANCA	000000000			1	
GILMARFER	ROUTE COTIERE 111 KM 11 AIN SEBAA Z.I BERNOUSSI	0522350312	0522352360	info@gilmarfer.com	1	0015100085
ACIER INOX INDUSTRIEL A2I	14,Rue Capitaine thiriat	0522609382	0522609383		1	
AFIT	MAROC	0522633700	000000000		1	
AFRIC ROULEMENT	125-129,BD IBN TACHFINE	0522407010	0522407014		1	
AFRIQUIA GAZ	TETOUAN	0	0		1	
AFRIQUIA LUBRIFIANTS	CASA	0000000000			1	
AFRIQUIA STATION	ROUTE TANGER KM 4	0539960317			1	
AGHATASS MED-FORGEAGE	TETOUAN	00	00		1	
AHLAM RADIATEUR	RTE EL JADIDA KM 10 LISSASSFA(en face alo metal)	0527043440	0522652877		1	
AHMED BAKALI SAIOUFI-GARAGE TORRITA	KM 3 RTE DE CHEFCHAOUEN	00000000000			1	
CRANES SYSTEMS	45,Rue Abdelkader 	0661841161	0522332211	contact.cranes@gmail.com	1	001632934000095
AIR LIQUIDE	MAROC	0000000000			1	
AGARMAY FER	Qrt Mouklata A.Bni Hozmar Lac n°4 Kuilma Tetouan	0808.688.948	0667868325		1	
AKAKIR ANNAJM	AV.DES F.A.R DERB 10-N°12	0613097262	0613097262		1	
AL MAJD PROTECTION	zi M2P1 S M CASABLANCA	0522730829	00		1	
AL MATAR	ANGLE ROUTE DE SEBTA	0539999823			1	
AMGHAR	martil	0000000000			1	
AMI CAOUTCHOUC	108,RUE RAHAL BEN AHMED	0522245513	0522245519		1	
AMIN BRIQUETRIE	BENI MAADEN	00000000000			1	
ASSISTANCE TECHNIQUE INDUSTRIELLE	RUE 3 N°1  BIS HAY SAADA  SIDI BERNOUSSI	0522758698			1	
ATLAS GLASS	AV MOHAMADIA 110	0539993574			1	
ATLAS METAL	av mohamadia rsidance wieam -tetouan	00539715220	0000		1	
ATTAR	7 imp a rue 5 av bni arous coelma	0539718939	0694861717		1	
AUTO ACCESSOIRES AL HAMAMA	AV.MOULAY EL HASSAN BEN MEHDI N°65	0539964234			1	
AUTO HALL	Tetouan	00000000000			1	
AUTO TRAX	147 BD DE LA GARE  AIN SEBAA	0522663141			1	
AUTOMATION TECHNIQUE	CASA	0	0		1	
SAFIR BUSINESS	AV MARRAKECH Rue El Bouchra N°1 TETOUAN	0539717775	0539717775	contact@safirbusiness.ma	1	001568537000089
AZIZ ISSAOUI(MATERIAUX CONSTRUCTION)	tetouan	0663696462			1	
AZMIZAM	AV.9 AVRIL ROUTE COTIERE  TETOUAN	0539703969	0539964742		1	
BAOBAK	127,AV HAFID IBN ABDELBAR RESIDENCE AL ANDALOUSES ANZARANE N°15	0661359433			1	
BARBIERI & TAROZI Iberica S. L.	Adresse : Pol. Industrial Supoi 8, 12550 Almassora/Almazora, Castellon, Espagne	+34 964 56 2311	+34 964 56 2409	info@bt-iberica.net	1	
BEN HSAIN MOUHCINE	rue azrou n°3 m'hannech	000000000			1	
BEN YEICH BOIS	TETOUAN	00	00		1	
BENKARICH STATION	station raoua benkarich	0539707718			1	
BIRTELEC	maroc	0661075508			1	
BISMILAH	BD CASABLANCA	000000000000			1	
BNI AICHE BOIS	tetouan	00	00		1	
BOUANANE STATION	106 RUE MOHAMMEDIA-TOUTA	0604357853			1	
BOUAYAD ETS S.A.R.L	TETOUAN	00	00		1	
BOUCHTI SERVICE	TETOUAN	00	00		1	
BOURBAB KHALID & RACHID 1	AV.NASR N°35	0539966119	0539966119		1	
BOURBAB KHALID & RACHID 2	AV.NASR N°35 TETOUAN	0539966119	00		1	
