DESIGNATION	REFERENCE	QUANTITE	PRIX UNITAIRE
POMPE FREIN 2559540302	2559540302	1.00	900.0000
SCOTCH DOUBLE FACE 2mX15mm	2mX15mm	1.00	28.0000
BOBINE FEUILLARD EN POLYPROPYLENE PP1508ECO-NR-D1-15X0.8 MM ECO DIAM 200MM-POIDS 10KG	PP1508ECO-NR-D1-15X0.8 MM ECO DIAM 200MM-POIDS 10KG	10.00	320.0000
MOTEUR ELECTRIQUE T100 2,2KW-1500TR 2/3 V B3	2,2KW-1500TR 2/3 V B3	1.00	1300.0000
MOTEUR ELECTRIQUE T112 4KW-1500TR 2/3V B3	4KW-1500TR 2/3V B3	1.00	1600.0000
GANT CUIR M/C	M/C	80.00	12.5000
TEFLON 50mtX19mmX1mm	50mtX19mmX1mm	2.00	18.0000
SCOTCH TRANSPARENT 50mmX100M	50mmX100M	720.00	9.8000
EMBOUT 4	EMBOUT 4	100.00	0.2500
DISJONCTEUR MAGNETO-THERMIQUE GV2 ME14 6 -10A	GV2 ME14 6 -10A	1.00	700.0000
COSSE TERMINALE EMBOUT 1,5	EMBOUT 1,5	200.00	0.1600
BROSSE METALIQUE A MANCHE 1399	1399	3.00	20.0000
IMPRIMATION GRISE SODECSO-5KG	SODECSO-5KG	2.00	105.0000
COSSE TERMINALE EMBOUT 2,5	EMBOUT 2,5	200.00	0.1800
CHAPES A PICOTS PP 13MM	13MM	4000.00	0.1600
DILUANT CELLULOSIQUE 4,5 LTS SODECSO	4,5 LTS	1.00	89.0000
COSSE TERMINALE EMBOUT 0,75	EMBOUT 0,75	300.00	0.1300
COSSE TERMINALE EMBOUT 6	EMBOUT 6	100.00	0.2500
HUILE 15W-40 5L	15W-40	5.00	210.0000
HUILE MEGA-40  5LT	MEGA-40  5LT	4.00	178.0000
MAMELON CHROME 1/4"	1/4"	2.00	15.0000
CABLE ELECTRIQUE SOUPLE 1X2,5mm²	1X2,5mm²	100.00	4.6000
COMMUTATEUR 3 POSITION RAPPEL XB4-BD53	XB4-BD53	5.00	75.0000
GOULOTTE PERFOREE 40/40	40/40	2.00	25.0000
TUBE LED 20W	20W	4.00	25.0000
GOULOTTE PERFOREE 25/40	25/40	2.00	21.0000
ROULEMENT 308-NJ	308-NJ	1.00	550.0000
VIS TC 8X40	8X40	40.00	1.8000
COURROIE B-64	B-64	2.00	75.0000
TUYAU SPIRAL BLEU 15MT	15MT	1.00	150.0000
COURROIE A-57	A-57	4.00	62.0000
COMBINE CERCLAGE 16MM	16MM	2.00	1840.0000
FER A U PROFILE 80-EP 2	80-EP 2	6.00	235.0000
