ID_F	NOM_F	ADRESSE_F	TEL_F	FAX_F	EMAIL_F	ID_D	REMARQUE_F
384	A.D.S INDUSTRIE	MAROC	0539714269			1	
385	FERAILLE SIDI MOUMEN	CASABLANCA	000000000			1	
386	GILMARFER	ROUTE COTIERE 111 KM 11 AIN SEBAA Z.I BERNOUSSI	0522350312	0522352360	info@gilmarfer.com	1	0015100085
387	ACIER INOX INDUSTRIEL A2I	14,Rue Capitaine thiriat	0522609382	0522609383		1	
388	AFIT	MAROC	0522633700	000000000		1	
389	AFRIC ROULEMENT	125-129,BD IBN TACHFINE	0522407010	0522407014		1	
390	AFRIQUIA GAZ	TETOUAN	0	0		1	
391	AFRIQUIA LUBRIFIANTS	CASA	0000000000			1	
392	AFRIQUIA STATION	ROUTE TANGER KM 4	0539960317			1	
393	AGHATASS MED-FORGEAGE	TETOUAN	00	00		1	
394	AHLAM RADIATEUR	RTE EL JADIDA KM 10 LISSASSFA(en face alo metal)	0527043440	0522652877		1	
395	AHMED BAKALI SAIOUFI-GARAGE TORRITA	KM 3 RTE DE CHEFCHAOUEN	00000000000			1	
396	CRANES SYSTEMS	45,Rue Abdelkader 	0661841161	0522332211	contact.cranes@gmail.com	1	001632934000095
397	AIR LIQUIDE	MAROC	0000000000			1	
398	AGARMAY FER	Qrt Mouklata A.Bni Hozmar Lac n°4 Kuilma Tetouan	0808.688.948	0667868325		1	
399	AKAKIR ANNAJM	AV.DES F.A.R DERB 10-N°12	0613097262	0613097262		1	
400	AL MAJD PROTECTION	zi M2P1 S M CASABLANCA	0522730829	00		1	
401	AL MATAR	ANGLE ROUTE DE SEBTA	0539999823			1	
402	AMGHAR	martil	0000000000			1	
403	AMI CAOUTCHOUC	108,RUE RAHAL BEN AHMED	0522245513	0522245519		1	
404	AMIN BRIQUETRIE	BENI MAADEN	00000000000			1	
405	ASSISTANCE TECHNIQUE INDUSTRIELLE	RUE 3 N°1  BIS HAY SAADA  SIDI BERNOUSSI	0522758698			1	
406	ATLAS GLASS	AV MOHAMADIA 110	0539993574			1	
407	ATLAS METAL	av mohamadia rsidance wieam -tetouan	00539715220	0000		1	
408	ATTAR	7 imp a rue 5 av bni arous coelma	0539718939	0694861717		1	
409	AUTO ACCESSOIRES AL HAMAMA	AV.MOULAY EL HASSAN BEN MEHDI N°65	0539964234			1	
410	AUTO HALL	Tetouan	00000000000			1	
411	AUTO TRAX	147 BD DE LA GARE  AIN SEBAA	0522663141			1	
412	AUTOMATION TECHNIQUE	CASA	0	0		1	
413	SAFIR BUSINESS	AV MARRAKECH Rue El Bouchra N°1 TETOUAN	0539717775	0539717775	contact@safirbusiness.ma	1	001568537000089
414	AZIZ ISSAOUI(MATERIAUX CONSTRUCTION)	tetouan	0663696462			1	
415	AZMIZAM	AV.9 AVRIL ROUTE COTIERE  TETOUAN	0539703969	0539964742		1	
416	BAOBAK	127,AV HAFID IBN ABDELBAR RESIDENCE AL ANDALOUSES ANZARANE N°15	0661359433			1	
417	BARBIERI & TAROZI Iberica S. L.	Adresse : Pol. Industrial Supoi 8, 12550 Almassora/Almazora, Castellon, Espagne	+34 964 56 2311	+34 964 56 2409	info@bt-iberica.net	1	
418	BEN HSAIN MOUHCINE	rue azrou n°3 m'hannech	000000000			1	
419	BEN YEICH BOIS	TETOUAN	00	00		1	
420	BENKARICH STATION	station raoua benkarich	0539707718			1	
421	BIRTELEC	maroc	0661075508			1	
422	BISMILAH	BD CASABLANCA	000000000000			1	
423	BNI AICHE BOIS	tetouan	00	00		1	
424	BOUANANE STATION	106 RUE MOHAMMEDIA-TOUTA	0604357853			1	
425	BOUAYAD ETS S.A.R.L	TETOUAN	00	00		1	
426	BOUCHTI SERVICE	TETOUAN	00	00		1	
427	BOURBAB KHALID & RACHID 1	AV.NASR N°35	0539966119	0539966119		1	
428	BOURBAB KHALID & RACHID 2	AV.NASR N°35 TETOUAN	0539966119	00		1	
429	BOUTIQUE MY SPORT	EN FACE GARDE ROYALE	0000000000			1	
430	CADELA	TETOUAN	0000000000			1	
431	CARREFOUR TETOUAN	AVENUE 9 AVRIL	0539999776			1	
432	CERCLE MAROC	bd chefchaouni,lot zakia km 10,n°12-ain sebaa 	0522600289	0522625185	info@cerclemaroc.com	1	
433	CHAT MOHAMED	1,RUE KHALID BEN OUALID	0539963577	0539963577		1	
434	CIETEC	ROCHES NOIRES	022359677			1	
435	CITY PNEUS	Av Moulay Hassan Ben Mehdi-Route de Tanger Km3	0539965128			1	
436	CMCP	Q.I.AIN SEBAA-BD.A-B.P.2595	0522667878	0522667878		1	
437	COCEMA FES	FES	0000000000			1	
438	CODIPAT	tetuan	0000000			1	
439	COMPTANT	12,ROUTE DES OULED ZIANE	0522317656	0522315784	comptoir_roulement]@yahoo.fr	1	
440	COMPTOIR GHORGHIZ DU FROID	352 av hassan II	0539961213			1	
441	CONSTRUCTION ABDELLAOUI	TETOUAN	0000000000			1	
442	CONSTRUCTION TABOULA	TABOULA S.A.R.L	0000000000			1	
443	COTEMAR-BNH	MAROC	000000000			1	
444	CSP MAROC SARL	60 HAY ANDALOUSS TIFLET	0661063858	 0537849454	cspmaroc@hotmail.com	1	001536146000094
445	DARAJAT AYOUB	bd kasr kabir rte oued law n°10	0667992918			1	
446	DELTA DIESEL	BD 78,prog dyar el hana 1,imm.GH 7 N°18.sidi moumen	0522729534			1	
447	DETAIL INOX	rue des oudayas.lavillette 20300 casablanca	21222603774	21222603775	sdiminox@menara.ma	1	
448	DETROIT ELECTRIQUE	AV-SALAM-IMM-CHOUROUK BLOC A2 N°2	0539942867	0539942870		1	
449	DETROIT PLANCHER	HAKKAMA RTE TETOUAN KM 18,B.P:4400 tanger drissia	0539925171			1	
12135	SARELEB	Rte Cotiere 111 Lot N°3,Z.I-Polygone Ain Sebaa-CASA 	0522350402	0522350451	sarelebcommercial	1	000084708000047
451	DFI MAROC	route azla 6,4 km 	698979243	00		1	
452	DIESEL DU NORD	07,Av.Hassan II,Imm.Habous,Tetouan	0539967469		SDNT@menara.ma	1	
453	DIESEL YASSINE	av boujdour mhannech 2 n°17	0000000			1	
454	DIMANORD	TETOUAN	0539999642	0000000000		1	
455	DISTREL	44,Boulevard Sefrou,Ain Chock	0522449080			1	
456	DIYAE LIGTHING	AV DES FAR RUE TARIFA N°61	0700164566			1	
457	DOURI FER SARL	720,AV ABDELLAH EL FAKHAR	0539713967	00000000000		1	
458	DREAMS STATION	ANGLE AV.9 AVRIL ET OUED SBOU HAY SLAOUI	0539969804			1	
459	DROGUERIE ABBASS MED	BD MED DAOUD N°143 BIS	0539991121			1	
460	DROGUERIE ABDERRAHMAN	bab okla	000000000			1	
461	DROGUERIE AYACHI	TETOUAN	000000000			1	
462	DROGUERIE AZIZ	BD MARRAKECH N°1	0539974310			1	
463	DROGUERIE BNI SALAH	tetouan	000	00		1	
464	DROGUERIE DRUG	RTE TANGER	000000000			1	
465	DROGUERIE FAZOA	tetouan	00000000			1	
466	DROGUERIE HADRI	AV JOLAN N° 12	00			1	
467	DROGUERIE HORRA	RTE TANGER AV MY EL HASSAN BEN MEHDI	0539712983			1	
468	DROGUERIE HOUCINE	tetouan	00	00		1	
469	DROGUERIE LAWADA	Tetouan	00			1	
470	DROGUERIE MANDRI	Tetouan	00	00		1	
471	DROGUERIE MARTIL	bd hassan 2 n°41	0666939686			1	
472	DROGUERIE MHANECH	TETOUAN	0	0		1	
473	DROGUERIE OMAR-MASJID AL OMMA	Tetouan	00000000000			1	
474	DROGUERIE OULAD MOUSSA	AV SIDI YAHYA N°7-9	0539664595			1	
475	DROGUERIE RACHID	TETOUAN	0000000000			1	
476	DROGUERIE SAID MOUDEN	tetouan	00	00		1	
477	DROGUERIE SAMIR	MHANECH 2 AV KHENIFRA N°34	0626336015			1	
478	DROGUERIE SORDO	TETOUAN	00000000			1	
479	DROGUERIE TABOULA	tetouan	00	00		1	
480	DROGUERIE TORNILLO	tetouan	00	00		1	
481	DROGUERIE VENTE MAT CONST & TUYEAU PLASTIC	tetouan	0000000000			1	
482	DROGUERIE YOUSSEF MED HAMZA	MARCHAND DE MATERIAUX DE CONSTRUCTION  KHANDAK ZERBOUH AV RIF ZKT 4	00000000000	00000000000		1	
483	DROGURIE ELECTRO-MARZOUKI	rond point marjane tetouan	000	00		1	
484	DROGURIE MED-KHATABI	Tetouan	00	00		1	
485	DROGURIE MHANECH	tatouan	00	00		1	
486	DROGURIE RACHID	tetouan	00	00		1	
487	DROGURIE WAFI	TETOUAN	00	00		1	
488	ECOTIME MAROC SARL	17 PLACE CHARLES NCHOLE 7eme etage-bureau n°2	0527678300	0634690601	ecotime.ma@gmail.com	1	
489	ECOTREND	67,Rue aziz bellal 2eme etg n°3 MAARIF-EL MAARIF	00000000000		contact@ecotrend.MA	1	
490	EFMADECH	127 rue larrache hay salam xcil 20000 casa	022392302	022367248		1	
491	EL OUALI HASSAN	av oued martil N°21	00000000000			1	
14132	HADDAD BOIS SARL	AV,Ksar EL Kebir.N°126	0539998989		elhaddad.bois@gmail.com	1	
493	ELECTRO ANIAMA	AV.DES F.A.R N°9-TETOUAN	0539995808	0539972674		1	000099850000068
494	ENAF	maroc	0522441351	0522441302		1	
495	ENERGY TRANSFO	KM 11,5 Rte cotiere 111 bd. ATTAKA Z.I SIDI BERNOUSSI 20590	0522662744	0522662745	energy@energytransfo.com	1	
496	EPSILONLAB	5erue de l'olympe.2 mars casablanca-maroc	0522861797	0522860057		1	
497	F1 LAPTOPS SARL	AV MED DAOUD,N°77	0661260518		f1@f1laptops.com	1	
498	FER TAMOUDA	AV RIF KHANDAK ZERBOUH	0539966859	00000000		1	
499	FERAILLERIE HASSAN AL WALI	tetouan	00	00		1	
500	FERAILLERIE ABDELKRIM	ROMMANA	0000000000			1	
501	FERAILLERIE BOUANAN	TETOUAN	000000000			1	
502	FERNAB NEGOCE	TETOUAN	0661548056			1	
503	FERRETERIA EL TORNILLO	route de martil km 5 BP:1275	0539992372			1	
504	FERRETERIA LOUHA	TETOUAN	0000000000			1	
505	FLUID COMPONENTS	avenue casablanca n89 mhanech 2 rte oued laou 93000	0539991990			1	
506	FONDERIES & ACIERIES DU MAROC	19,chemin des pivoines-ain sebaa	0522355888	0522355721		1	
507	FORGEAGE-INDUSTRIE ARTISANALE	SANIAT RMEL	0000000000			1	
508	FORGES DE BAZAS	ROUTE 111,KM N°1 QUARTIER SIDI BERNOUSSI	0522669850	0522356058		1	
509	FOTOGRABADO sarl	tetuan	0539963113	0000000000		1	
510	FRITTA	Espagne	00	00		1	
511	GARAGE ABDELOUAHID	TETOUAN	0000000000			1	
512	GARAGE AUTO MECANIQUE	tetouan	00	00		1	
513	GARAGE BIDAWI	tetouan	00	00		1	
514	GARAGE DALIA	XXXXXXXX	000000000000			1	
515	GASATEX	argentine	5447383883			1	
516	GRINS	2007,S.L  P.I.CIUDAD DEL TRANSPORTE  C/LUXEMBOURG,49B-12006	964100146		INFO@GRINS.ES	1	
517	GROSANI SARL	BD CASABLANCA	0539990088			1	
518	HANAFI ZONE INDUSTRIELLE	RTE MARTIL TETOUAN	00000000			1	
519	HASSANI VENTE MATERIAUX CONSTRUCTION	route bekarrich	00000000000			1	
520	HICHAM SAID	av seville n°66	0641558672			1	
521	HOUCINE FER	AV KASR EL KABIR	0539997412	0000000000		1	
522	IMPRIMERI TETOUAN	av chakib arsalan N°83	0539704234			1	
523	IMPRIMERIE CLE VOITURE & REPARATION VACHETTES	tetouan	0000000000			1	
524	IMPRIMERIE HIDAYA	tetouan	00	00		1	
